trialnum	part	condition	speed	correct
0	part2	centred	1.7	1
1	part2	near_displaced	1.7	1
2	part2	near_displaced	1.5	1
3	part2	far_displaced	2.0	1
4	part2	near_displaced	2.0	1
5	part2	far_displaced	1.0	1
6	part2	centred	1.0	1
7	part2	centred	1.9	1
8	part2	near_displaced	2.2	1
9	part2	centred	2.2	1
10	part2	far_displaced	1.9	1
11	part2	near_displaced	1.5	1
12	part2	far_displaced	1.0	1
13	part2	far_displaced	1.7	1
14	part2	centred	1.0	1
15	part2	centred	1.5	1
16	part2	centred	1.5	1
17	part2	near_displaced	2.0	1
18	part2	far_displaced	2.0	1
19	part2	far_displaced	2.2	1
20	part2	centred	2.0	1
21	part2	centred	1.9	1
22	part2	far_displaced	1.9	1
23	part2	centred	1.0	1
24	part2	near_displaced	1.7	1
25	part2	centred	2.2	1
26	part2	far_displaced	2.0	1
27	part2	near_displaced	2.2	1
28	part2	near_displaced	1.9	1
29	part2	centred	2.0	1
30	part2	far_displaced	1.7	1
31	part2	near_displaced	1.0	1
32	part2	near_displaced	1.0	1
33	part2	far_displaced	2.0	1
34	part2	far_displaced	1.9	1
35	part2	centred	1.5	1
36	part2	near_displaced	1.7	1
37	part2	centred	2.2	1
38	part2	far_displaced	1.5	1
39	part2	far_displaced	2.2	1
40	part2	centred	1.7	1
41	part2	near_displaced	2.2	1
42	part2	far_displaced	1.9	1
43	part2	near_displaced	2.0	1
44	part2	centred	1.7	1
45	part2	far_displaced	1.0	1
46	part2	near_displaced	1.9	1
47	part2	centred	1.5	1
48	part2	near_displaced	1.9	1
49	part2	centred	2.0	1
50	part2	centred	1.0	1
51	part2	far_displaced	1.5	1
52	part2	far_displaced	2.2	1
53	part2	far_displaced	1.5	1
54	part2	far_displaced	1.7	1
55	part2	near_displaced	1.7	1
56	part2	centred	2.2	1
57	part2	centred	2.0	1
58	part2	near_displaced	1.0	1
59	part2	centred	1.9	1
60	part2	centred	1.7	1
61	part2	near_displaced	1.9	1
62	part2	far_displaced	1.5	1
63	part2	near_displaced	1.5	1
64	part2	near_displaced	2.2	1
65	part2	near_displaced	1.0	1
66	part2	near_displaced	1.5	1
67	part2	near_displaced	2.0	1
68	part2	far_displaced	1.0	1
69	part2	far_displaced	2.2	1
70	part2	centred	1.9	1
71	part2	far_displaced	1.7	1
