trialnum	subject	session	part	condition	basicShape	numObjects	speed	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
43	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.03	5.552	2.4105	120	1	5.349	1	0	3	2.1186	3.2464	5.0836	-999	-999	-999	-999	-999	-999	-999
44	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.03	1.0055	4.1471	120	1	5.347	1	0	2	2.0747	3.7843	-999	-999	-999	-999	-999	-999	-999	-999
45	temp	1	Part1_OffFix_Standard	centred	circle	2	0.03	5.9523	2.8107	120	1	5.35	1	0	2	2.7182	4.6844	-999	-999	-999	-999	-999	-999	-999	-999
46	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	1.1576	4.2992	120	1	5.35	1	0	2	2.7777	3.7638	-999	-999	-999	-999	-999	-999	-999	-999
47	temp	1	Part1_OffFix_Standard	centred	circle	2	0.03	3.1304	6.272	120	1	7.549	1	0	2	2.7919	4.7213	-999	-999	-999	-999	-999	-999	-999	-999
48	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.03	3.0737	6.2153	120	1	6.449	1	0	2	2.1877	4.0135	-999	-999	-999	-999	-999	-999	-999	-999
49	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.03	4.7674	1.6258	120	1	5.383	1	0	2	2.1811	4.0062	-999	-999	-999	-999	-999	-999	-999	-999
50	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.03	1.8631	5.0047	120	1	5.524	1	0	2	2.924	4.7937	-999	-999	-999	-999	-999	-999	-999	-999
51	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	0.2224	3.364	120	1	5.373	1	0	4	1.7675	2.3083	2.9555	3.6842	-999	-999	-999	-999	-999	-999
52	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.03	2.8533	5.9949	120	1	5.366	1	0	2	2.7951	4.707	-999	-999	-999	-999	-999	-999	-999	-999
53	temp	1	Part1_OffFix_Standard	centred	circle	2	0.03	5.0653	1.9237	120	1	6.266	1	0	3	2.3169	3.24	4.8739	-999	-999	-999	-999	-999	-999	-999
