trialnum	subject	conditionLabel	trajectoryCenterXDeg	trajectoryCenterYDeg	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	ringToQuery	direction0	respAdj0	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	timingBlips
0	temp	center	0.0	0.0	circle	2	1.6	-1	3 	 3.8838546116362123 	 1 	 1.0	0	-1	-0.0	2.2985 	2.9594 	4.0236 	5.2204 	-999	-999	-999	-999	-999	228
1	temp	near	5.0	0.0	circle	2	1.1	1	3 	 3.5720561712114876 	 1 	 0.0	0	1	-0.0	1.8916 	2.5392 	3.2734 	4.3865 	-999	-999	-999	-999	-999	214
2	temp	far	10.0	0.0	circle	2	1.8	-1	3 	 5.405077085100745 	 1 	 0.0	0	-1	0.0	2.0198 	2.8008 	4.3664 	6.1179 	-999	-999	-999	-999	-999	323
