trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	a	Part1	far_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	5.6744	2.5328	143	143	0	111	right	10.0	0	8.531	1	0	3	54	30	2.104	2.6464	4.3078	-999	-999	-999	-999	-999	-999	-999
1	temp	a	Part1	near_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	4.3279	1.1863	143	143	0	136	left	5.0	1	5.441	1	0	3	5	5	1.797	3.2346	4.3402	-999	-999	-999	-999	-999	-999	-999
2	temp	a	Part1	near_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	1.6353	4.7769	143	143	0	99	left	5.0	0	5.833	1	0	2	8	0	2.7731	4.4997	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	a	Part1	far_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	4.9562	1.8146	143	143	0	136	right	10.0	1	6.35	1	0	2	0	0	2.6999	3.8738	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	a	Part1	near_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	4.3138	1.1722	143	143	0	142	left	5.0	1	11.126	1	0	2	1	1	2.8044	4.6817	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	a	Part1	centred	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	4.1777	1.0362	143	143	0	152	center	0.0	1	7.15	1	0	2	0	0	2.6021	4.1043	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	a	Part1	far_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	2.7664	5.908	143	143	0	131	right	10.0	0	6.784	1	0	2	1	1	1.9292	3.6664	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	a	Part1	centred	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	1.2131	4.3547	143	143	0	143	center	0.0	0	7.392	1	0	3	0	0	1.8946	3.0164	3.7932	-999	-999	-999	-999	-999	-999	-999
8	temp	a	Part1	near_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	6.2481	3.1065	143	143	0	138	right	5.0	0	8.535	1	0	2	0	0	2.9859	4.0861	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	a	Part1	far_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	2.3785	5.5201	143	143	0	100	left	10.0	0	5.634	1	0	3	6	3	2.3568	3.0173	3.6466	-999	-999	-999	-999	-999	-999	-999
10	temp	a	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	0.7658	3.9074	143	143	0	115	left	5.0	1	7.016	1	0	2	1	0	2.9406	4.5616	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	a	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	6.2123	3.0707	143	143	0	110	center	0.0	0	8.749	1	0	3	1	0	2.6507	3.4106	4.4987	-999	-999	-999	-999	-999	-999	-999
12	temp	a	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	0.4494	3.591	143	143	0	110	right	5.0	0	5.883	1	0	2	0	0	1.9545	3.8321	-999	-999	-999	-999	-999	-999	-999	-999
