trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	3.0	1.2665	4.408	120	1	5.381	1	0	3	310	114	196	2.5206	3.4398	4.0886	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	3.0	5.5342	2.3926	120	1	6.316	1	0	2	308	115	193	2.2125	3.9395	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	3.0	2.9993	6.1409	120	1	5.814	1	0	2	292	118	174	2.8216	4.1944	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	3.0	0.1856	3.3271	120	1	5.348	1	0	3	316	119	197	2.7175	3.4005	5.2961	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	3.0	3.2942	0.1526	120	1	5.4	1	0	3	290	113	177	1.9615	2.845	4.2035	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	far_displaced	circle	2	0.5	varying	attention_check	0	n/a	-999	-999	-999	2.8921	6.0337	120	1	5.367	1	0	2	317	118	199	3.0249	4.4768	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	n/a	-999	-999	-999	3.4669	0.3253	120	1	5.399	1	0	2	267	96	171	3.0224	4.8436	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	n/a	-999	-999	-999	4.0004	0.8588	120	1	5.399	1	0	3	309	119	190	2.0715	3.2229	4.3141	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	n/a	-999	-999	-999	1.8806	5.0222	120	1	5.4	1	0	3	277	104	173	1.8667	2.6159	4.5433	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	n/a	-999	-999	-999	6.2524	3.1108	120	1	5.416	1	0	2	294	115	179	2.5159	4.191	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	n/a	-999	-999	-999	4.4878	1.3462	120	1	5.416	1	0	3	313	116	197	2.2886	3.3246	5.1037	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	n/a	-999	-999	-999	5.0324	1.8908	120	1	5.433	1	0	2	279	109	170	1.9913	3.8884	-999	-999	-999	-999	-999	-999	-999	-999
