trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	3.0157	6.1573	120	120	1	5.436	1	0	3	280	113	167	1.743	2.5748	3.6426	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	1.647	4.7886	120	120	1	5.398	1	0	2	298	105	193	2.6495	4.1493	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	5.4553	2.3137	120	120	1	5.333	1	0	3	318	120	198	2.2021	2.895	4.5658	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	4.0234	0.8818	120	120	1	5.35	1	0	2	311	112	199	1.9643	3.8602	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	3.0439	6.1855	120	120	1	5.35	1	0	3	317	119	198	2.5103	3.2913	4.713	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.1000000000000003	3.7615	0.6199	120	120	1	5.383	1	0	2	317	118	199	2.5651	4.0556	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.1000000000000003	2.8378	5.9794	120	120	1	5.383	1	0	3	263	109	154	1.8706	3.4966	4.4865	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	3.5706	0.429	120	120	1	5.383	1	0	2	277	111	166	2.1895	3.5397	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.1000000000000003	5.9454	2.8038	120	120	1	5.4	1	0	2	319	120	199	2.3967	3.8496	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	3.9814	0.8399	120	120	1	5.5	1	0	3	281	112	169	1.8681	2.6531	3.9879	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.1000000000000003	1.2693	4.4109	120	120	1	5.432	1	0	2	267	103	164	2.8094	4.0111	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	near_displaced	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	3.9729	0.8313	120	120	1	5.433	1	0	2	318	119	199	3.0143	3.7114	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	centred	circle	2	1.8	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.1000000000000003	5.7599	2.6183	120	120	1	5.482	1	0	2	304	111	193	1.7526	3.6834	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.1000000000000003	5.9525	2.8109	120	120	1	5.466	1	0	2	274	110	164	2.288	4.2778	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	4.4	1.2584	120	120	1	5.473	1	0	2	263	99	164	2.4938	4.2767	-999	-999	-999	-999	-999	-999	-999	-999
