trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	4.7802	1.6386	120	120	1	5.398	1	0	3	309	113	196	2.3056	3.4894	4.2965	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	3.6049	0.4633	120	120	1	5.366	1	0	2	295	119	176	3.0848	3.9354	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	6.0139	2.8723	120	120	1	5.366	1	0	2	272	100	172	2.7198	4.6904	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	2.1847	5.3263	120	120	1	5.4	1	0	3	313	115	198	2.1884	3.2141	3.7681	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	4.719	1.5774	120	120	1	5.349	1	0	2	303	119	184	2.6368	3.7079	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.1000000000000003	5.0935	1.9519	120	120	1	5.383	1	0	4	318	119	199	1.8632	2.8559	3.4726	5.108	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.1000000000000003	2.2716	5.4132	120	120	1	5.366	1	0	3	319	120	199	2.3756	3.3949	4.4355	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.1000000000000003	3.6021	0.4605	120	120	1	5.466	1	0	3	318	119	199	2.1531	2.881	4.1498	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.1000000000000003	3.7257	0.5841	120	120	1	5.383	1	0	2	306	120	186	2.8515	4.2859	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	1.0000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	1.9000000000000001	5.384	2.2424	120	120	1	5.416	1	0	2	319	120	199	2.3396	4.0868	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	1.0000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	1.9000000000000001	5.3289	2.1873	120	120	1	5.416	1	0	3	318	120	198	2.2734	3.2748	3.7943	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	4.2609	1.1193	120	120	1	5.433	1	0	2	307	120	187	3.1049	5.0317	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	far_displaced	circle	2	1.0000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	1.9000000000000001	3.258	0.1164	120	120	1	5.466	1	0	2	279	110	169	2.1624	3.8317	-999	-999	-999	-999	-999	-999	-999	-999
