trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	Part1|centred|standard|stair1	0.7	3.0	4.0483	0.9067	120	1	5.478	1	0	2	315	119	196	3.0846	3.8404	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|far_displaced|standard|stair1	0.7	3.0	0.2938	3.4354	120	1	5.432	1	0	3	310	120	190	2.3661	3.0311	4.3632	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|far_displaced|varying|stair1	0.7	3.0	1.6324	4.774	120	1	5.399	1	0	3	312	120	192	2.0281	2.8396	4.4277	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|near_displaced|varying|stair1	0.7	3.0	1.4555	4.5971	120	1	5.416	1	0	2	311	119	192	2.5213	3.513	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|near_displaced|standard|stair1	0.7	3.0	4.5995	1.4579	120	1	5.433	1	0	2	318	120	198	2.8629	3.5548	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	0.0288	3.1704	120	1	5.182	1	0	3	319	120	199	1.9846	2.5707	4.3805	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	-999	-999	-999	2.0297	5.1713	120	1	5.187	1	0	3	319	120	199	1.901	3.0912	3.846	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	4.4893	1.3477	120	1	5.188	1	0	2	318	120	198	3.0653	4.8852	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	0.2441	3.3857	120	1	5.908	1	0	2	313	120	193	2.9123	4.5986	-999	-999	-999	-999	-999	-999	-999	-999
