trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	near_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	1.5213	4.6629	89	89	0	90	right	5.0	1	6.073	1	0	2	1	0	3.0858	4.3215	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	centred	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	4.6996	1.558	89	89	0	95	center	0.0	1	7.054	1	0	2	0	0	2.8099	4.4753	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	2.5156	5.6572	89	89	0	84	left	5.0	1	7.096	1	0	2	0	0	2.1091	3.9721	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	5.473	2.3314	89	89	0	81	right	5.0	1	5.522	1	0	2	0	0	3.1304	5.0512	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	5.0888	1.9472	89	89	0	93	left	10.0	0	6.215	1	0	2	0	0	2.7285	4.0235	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	centred	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	4.5474	1.4058	89	89	0	65	center	0.0	1	5.615	1	0	2	0	0	3.017	3.8621	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	5.1877	2.0461	89	89	0	84	left	5.0	1	5.522	1	0	2	0	0	1.9378	3.6697	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	1.791	4.9326	89	89	0	60	right	10.0	0	5.481	1	0	2	0	0	2.4558	4.4243	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	4.5715	1.43	89	89	0	68	left	10.0	1	5.642	1	0	3	0	0	2.4019	2.9961	3.6251	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	2.3098	5.4514	89	89	0	68	right	10.0	1	5.361	1	0	3	0	0	2.5995	3.1609	4.8807	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	5.664	2.5224	89	89	0	81	left	5.0	1	5.9	1	0	2	1	1	2.7858	4.3886	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	0.5917	3.7333	89	89	0	64	right	5.0	1	5.533	1	0	3	1	1	1.7971	2.8255	3.8494	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	0.6407	3.7822	89	89	0	77	right	10.0	1	5.766	1	0	2	1	1	2.4922	4.1715	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.7	4.3209	1.1793	89	89	0	72	left	10.0	1	5.966	1	0	2	0	0	3.0218	3.9721	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	3.9131	0.7715	89	89	0	95	center	0.0	1	5.75	1	0	2	0	0	2.9026	3.7731	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.5	2.1589	5.3005	89	89	0	93	center	0.0	0	5.616	1	0	2	0	0	2.1926	4.0571	-999	-999	-999	-999	-999	-999	-999	-999
