trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
87	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	standard	3.7626	0.621	120	0	5.402	1	0	3	1.9294	2.46	4.3774	-999	-999	-999	-999	-999	-999	-999
88	temp	1	Part1_2_Combined	centred	circle	2	1.3	standard	4.0101	0.8685	120	1	5.455	1	0	3	2.2155	3.4318	4.0418	-999	-999	-999	-999	-999	-999	-999
89	temp	1	Part1_2_Combined	centred	circle	2	1.3	standard	0.5149	3.6565	120	1	5.575	1	0	2	2.499	4.2261	-999	-999	-999	-999	-999	-999	-999	-999
90	temp	1	Part1_2_Combined	centred	circle	2	1.1	standard	0.5727	3.7143	120	1	5.388	1	0	2	3.0453	4.1018	-999	-999	-999	-999	-999	-999	-999	-999
91	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	varying	5.0672	1.9256	120	0	5.535	1	0	2	3.0476	3.7196	-999	-999	-999	-999	-999	-999	-999	-999
92	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	varying	0.9704	4.112	120	1	5.522	1	0	2	2.8683	3.6313	-999	-999	-999	-999	-999	-999	-999	-999
93	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	varying	0.3077	3.4493	120	0	5.281	1	0	2	2.6174	3.8547	-999	-999	-999	-999	-999	-999	-999	-999
94	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	varying	3.2593	0.1177	120	1	5.642	1	0	2	2.8119	4.57	-999	-999	-999	-999	-999	-999	-999	-999
95	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	standard	5.7102	2.5686	120	1	5.468	1	0	2	2.0115	3.506	-999	-999	-999	-999	-999	-999	-999	-999
96	temp	1	Part1_2_Combined	far_displaced	circle	2	2.1	varying	1.3204	4.462	120	1	5.482	1	0	2	2.3725	3.5348	-999	-999	-999	-999	-999	-999	-999	-999
97	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	varying	0.0303	3.1719	120	1	5.589	1	0	2	2.633	3.6517	-999	-999	-999	-999	-999	-999	-999	-999
98	temp	1	Part1_2_Combined	centred	circle	2	1.1	standard	3.7729	0.6313	120	1	7.016	1	0	3	1.9925	2.7173	3.5697	-999	-999	-999	-999	-999	-999	-999
99	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	standard	1.1631	4.3047	120	0	14.271	1	0	3	2.1873	3.1367	3.6939	-999	-999	-999	-999	-999	-999	-999
