trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	3.2993	0.1577	120	120	1	5.347	1	0	3	316	117	199	2.9276	3.4605	5.4135	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	4.5187	1.3771	120	120	1	5.4	1	0	3	316	119	197	2.0332	3.0402	4.274	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	0.6365	3.7781	120	120	1	5.416	1	0	4	271	108	163	1.9456	2.7369	3.3169	5.1066	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	4.8992	1.7576	120	120	1	5.366	1	0	2	316	119	197	2.9973	4.4181	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	5.4449	2.3033	120	120	1	5.433	1	0	3	307	109	198	1.8901	3.3594	4.3264	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.1000000000000003	3.4946	0.353	120	120	1	5.399	1	0	2	290	119	171	3.1642	3.7663	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	centred	circle	2	1.8	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.1000000000000003	5.259	2.1174	120	120	1	5.366	1	0	4	310	111	199	1.9805	2.5699	3.3283	4.5887	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.1000000000000003	1.1006	4.2422	120	120	1	5.433	1	0	2	310	120	190	2.1411	3.6971	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.1000000000000003	5.5764	2.4348	120	120	1	5.4	1	0	2	292	116	176	2.3138	3.7045	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	2.9843	6.1259	120	120	1	5.4	1	0	2	272	103	169	3.1541	4.2515	-999	-999	-999	-999	-999	-999	-999	-999
