trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
54	temp	1	Part1	near_displaced	circle	2	2.1	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-2.1	5.761	2.6194	89	89	0	94	left	5.0	1	6.199	1	0	3	2	0	2.6639	3.2309	3.892	-999	-999	-999	-999	-999	-999	-999
55	temp	1	Part1	far_displaced	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.39999999999999997	5.8554	2.7138	89	89	0	63	left	10.0	1	5.583	1	0	3	0	0	1.8512	3.1979	4.9878	-999	-999	-999	-999	-999	-999	-999
56	temp	1	Part1	far_displaced	circle	2	1.2	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.2	0.1592	3.3007	89	89	0	67	right	10.0	1	5.683	1	0	2	2	0	2.7073	3.6509	-999	-999	-999	-999	-999	-999	-999	-999
57	temp	1	Part1	centred	circle	2	0.5999999999999999	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-0.5999999999999999	2.7489	5.8905	89	89	0	87	center	0.0	1	5.833	1	0	2	1	1	2.962	3.8063	-999	-999	-999	-999	-999	-999	-999	-999
58	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.5	4.3797	1.2381	89	89	0	94	right	10.0	1	5.982	1	0	2	2	2	3.1766	5.1519	-999	-999	-999	-999	-999	-999	-999	-999
59	temp	1	Part1	near_displaced	circle	2	1.3	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-1.3	1.4371	4.5787	89	89	0	65	left	5.0	1	5.716	1	0	3	0	0	2.0488	3.0179	4.0384	-999	-999	-999	-999	-999	-999	-999
60	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	2.6704	5.812	89	89	0	61	center	0.0	1	5.716	1	0	2	0	0	3.1145	3.9663	-999	-999	-999	-999	-999	-999	-999	-999
61	temp	1	Part1	centred	circle	2	0.5999999999999999	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-0.5999999999999999	0.2182	3.3598	89	89	0	78	center	0.0	1	5.933	1	0	3	2	2	2.2544	3.2289	4.9206	-999	-999	-999	-999	-999	-999	-999
62	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	-1.8	2.1903	5.3319	89	89	0	85	right	5.0	0	5.965	1	0	2	1	1	1.7727	3.6479	-999	-999	-999	-999	-999	-999	-999	-999
63	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	5.7313	2.5897	89	89	0	81	center	0.0	1	8.35	1	0	3	1	0	1.9622	3.2926	4.2463	-999	-999	-999	-999	-999	-999	-999
