trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	0.8719	4.0135	120	120	1	5.364	1	0	2	304	106	198	2.4153	4.3369	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	3.9092	0.7676	120	120	1	5.333	1	0	2	319	120	199	3.0195	4.1195	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	1.0363	4.1779	120	120	1	5.35	1	0	2	303	114	189	2.7549	4.126	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	3.3807	0.2391	120	120	1	5.349	1	0	3	316	120	196	2.4373	3.179	4.4164	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	5.6292	2.4876	120	120	1	5.365	1	0	2	317	120	197	2.1003	3.5076	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	centred	circle	2	1.8	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.1000000000000003	4.4848	1.3432	120	120	1	5.366	1	0	2	318	119	199	2.5643	4.0759	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	5.6396	2.498	120	120	1	5.383	1	0	2	288	112	176	2.4378	4.2475	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.1000000000000003	3.3068	0.1652	120	120	1	5.416	1	0	3	296	120	176	1.7448	3.2805	3.8741	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.1000000000000003	4.0268	0.8852	120	120	1	5.383	1	0	2	318	120	198	2.1282	3.9997	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	6.0672	2.9256	120	120	1	5.417	1	0	2	295	120	175	2.3838	4.2136	-999	-999	-999	-999	-999	-999	-999	-999
