trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|near_displaced|varying|stair1	0.7	3.0	1.6191	4.7607	120	1	5.715	1	0	2	315	118	197	3.0496	5.0274	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|far_displaced|standard|stair1	0.7	3.0	4.2043	1.0627	120	1	5.349	1	0	2	284	107	177	2.1117	3.7088	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|far_displaced|varying|stair1	0.7	3.0	3.8816	0.74	120	1	5.4	1	0	3	300	109	191	2.5569	3.0873	3.9829	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	Part1|centred|standard|stair1	0.7	3.0	4.1822	1.0406	120	1	5.416	1	0	2	298	118	180	2.8061	4.0166	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|near_displaced|standard|stair1	0.7	3.0	3.7277	0.5861	120	1	5.5	1	0	3	302	120	182	2.4078	3.0431	3.7408	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	1.2296	4.3712	120	1	5.221	1	0	2	317	120	197	2.9553	4.1083	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	-999	-999	-999	4.9322	1.7906	120	1	5.228	1	0	3	311	120	191	1.7281	2.9245	4.2974	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	3.9323	0.7908	120	1	5.188	1	0	2	287	102	185	2.1138	3.8236	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	0.4826	3.6242	120	1	5.188	1	0	3	319	120	199	1.8719	2.4744	4.4002	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	centred	circle	2	1.8	standard	staircase	2	Part1|centred|standard|stair2	1.8	1.9000000000000001	6.2122	3.0706	120	1	5.386	1	0	2	319	120	199	2.3146	3.8476	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	Part1|near_displaced|standard|stair2	1.8	1.9000000000000001	2.0381	5.1797	120	1	5.4	1	0	2	311	118	193	2.6392	3.6071	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	-999	-999	-999	0.3449	3.4865	120	1	5.179	1	0	3	319	120	199	2.2853	3.1376	4.6788	-999	-999	-999	-999	-999	-999	-999
