trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	2.8348	5.9763	120	120	1	6.598	1	0	2	318	119	199	2.0953	4.0658	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	1.845	4.9866	120	120	1	6.898	1	0	2	319	120	199	3.1822	4.1419	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	6.1912	3.0496	120	120	1	6.8	1	0	2	319	120	199	2.7166	4.3648	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	5.4861	2.3445	120	120	1	6.716	1	0	2	319	120	199	2.3142	3.5684	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	1.3578	4.4994	120	120	1	7.066	1	0	3	318	120	198	1.8035	2.5103	4.4869	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	1.1007	4.2423	120	120	1	6.516	1	0	2	319	120	199	2.1911	4.1754	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	2.7873	5.9289	120	120	0	7.149	1	0	2	319	120	199	2.3884	3.7598	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	3.1768	0.0352	120	120	1	6.55	1	0	4	319	120	199	1.8739	2.6319	3.4381	4.8883	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	5.3835	2.2419	120	120	0	6.633	1	0	2	319	120	199	2.9589	3.5471	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	1.4193	4.5608	120	120	1	6.516	1	0	3	319	120	199	2.2022	3.2986	4.5668	-999	-999	-999	-999	-999	-999	-999
