trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	3.1781	0.0365	120	120	0	5.971	1	0	3	313	120	193	2.417	2.9979	4.5358	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	0.3807	3.5222	120	120	0	9.295	1	0	3	317	119	198	2.2587	3.2785	3.9521	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	3.9374	0.7958	120	120	0	13.787	1	0	3	317	119	198	2.4273	3.1278	4.9713	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	3.3791	0.2375	120	120	0	7.417	1	0	3	318	120	198	2.081	3.3819	4.1804	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	1.6464	4.7879	120	120	0	6.567	1	0	3	319	120	199	2.4535	3.2459	4.5842	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	6.1551	3.0135	120	120	1	6.6	1	0	2	319	120	199	2.6383	3.5253	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	2.482	5.6235	120	120	1	10.442	1	0	3	318	120	198	1.9834	3.3336	4.1945	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	0.0243	3.1659	120	120	1	6.499	1	0	2	319	120	199	2.8306	3.5324	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	0.6703	3.8119	120	120	1	6.533	1	0	3	319	120	199	2.3126	3.2106	4.5777	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	0.4215	3.5631	120	120	1	6.432	1	0	2	319	120	199	2.8725	4.1288	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	0.7	1.2326	4.3742	120	120	1	6.726	1	0	2	319	120	199	2.7437	3.8335	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	0.7	2.5193	5.6609	120	120	1	9.101	1	0	2	319	120	199	2.6529	3.9398	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	0.7	5.2228	2.0812	120	120	1	7.434	1	0	2	318	120	198	2.8016	3.7123	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	0.7	2.5107	5.6523	120	120	0	16.447	1	0	2	319	120	199	2.2258	3.7585	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	0.7	5.9045	2.7629	120	120	0	11.004	1	0	2	317	120	197	2.5588	4.5355	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	1.5	3.7573	0.6157	120	120	0	16.055	1	0	3	318	120	198	2.0395	3.0764	4.6176	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	0.7	1.2314	4.373	120	120	0	15.632	1	0	3	319	120	199	2.6564	3.4448	5.2675	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1	near_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	1.5	6.1765	3.0349	120	120	0	15.618	1	0	2	318	119	199	2.4614	4.1054	-999	-999	-999	-999	-999	-999	-999	-999
