trialnum	 subject	 session	 part 	 condition     	 basicShape	 numObjects	 speed             	 motionRule	 trialKind      	 staircaseIndex	 staircaseWithinCondition	 stairKey                            	 stairStartSpeed	 stairValue         	 initialAngle	 initialOtherAngle	 cueFrames	 timingCheckFrames	 eyetrackingEnabled	 fixatnPeriodFrames	 trajectorySide	 trajectoryOffsetDeg	 ellipseRotationRad	 correct	 trialOutcome	 trialExcluded	 fixBreakFrame	 fixBreakDistanceDeg	 trialDurTotal	 numTargets	 whichIsTarget	 reversal_count	 timingBlips	 numLongFramesAfterCue	 reversal_0	 reversal_1	 reversal_2	 reversal_3	 reversal_4	 reversal_5	 reversal_6	 reversal_7	 reversal_8	 reversal_9
      11	 temp   	 a      	 Part1	 centred       	 circle    	          2	 0.7               	 standard  	 staircase      	              1	 stair1                  	 Part1|centred|standard|stair1       	 0.7            	 -0.7               	       3.1832	            0.0416	        89	                89	                  0	                 88	 center        	                 0.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.416	             1	          0	             2	              0	           0	                2.7378	     4.2451	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      12	 temp   	 a      	 Part1	 far_displaced 	 circle    	          2	 0.7               	 standard  	 staircase      	              1	 stair1                  	 Part1|far_displaced|standard|stair1 	 0.7            	 -0.7               	       4.8503	            1.7088	        89	                89	                  0	                 67	 left          	                10.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.133	             1	          0	             3	              0	           0	                2.0304	     3.4125	 4.7775    	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      13	 temp   	 a      	 Part1	 near_displaced	 circle    	          2	 0.7               	 varying   	 staircase      	              1	 stair1                  	 Part1|near_displaced|varying|stair1 	 0.7            	 -0.7               	       1.6371	            4.7787	        89	                89	                  0	                 84	 right         	                 5.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.35 	             1	          0	             2	              0	           0	                2.9253	     4.7843	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      14	 temp   	 a      	 Part1	 far_displaced 	 circle    	          2	 0.7               	 varying   	 staircase      	              1	 stair1                  	 Part1|far_displaced|varying|stair1  	 0.7            	 -0.7               	       3.5901	            0.4485	        89	                89	                  0	                 88	 left          	                10.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.583	             1	          0	             2	              2	           2	                3.0816	     3.8248	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      15	 temp   	 a      	 Part1	 centred       	 circle    	          2	 1.5               	 standard  	 staircase      	              2	 stair2                  	 Part1|centred|standard|stair2       	 1.5            	 -1.5               	       5.4098	            2.2682	        89	                89	                  0	                 84	 center        	                 0.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.4  	             1	          0	             2	              2	           2	                3.0494	     4.1431	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      16	 temp   	 a      	 Part1	 near_displaced	 circle    	          2	 1.5               	 varying   	 staircase      	              2	 stair2                  	 Part1|near_displaced|varying|stair2 	 1.5            	 -1.5               	       2.8638	            6.0054	        89	                89	                  0	                 91	 right         	                 5.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.5  	             1	          0	             2	              2	           2	                2.5625	     3.9549	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      17	 temp   	 a      	 Part1	 near_displaced	 circle    	          2	 1.5               	 standard  	 staircase      	              2	 stair2                  	 Part1|near_displaced|standard|stair2	 1.5            	 -1.5               	       5.2693	            2.1277	        89	                89	                  0	                 62	 left          	                 5.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.1  	             1	          0	             2	              0	           0	                1.7877	     3.6525	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      18	 temp   	 a      	 Part1	 far_displaced 	 circle    	          2	 1.5               	 varying   	 staircase      	              2	 stair2                  	 Part1|far_displaced|varying|stair2  	 1.5            	 -1.5               	       2.1406	            5.2822	        89	                89	                  0	                 80	 right         	                10.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.349	             1	          0	             3	              0	           0	                2.3623	     2.8874	 4.1566    	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      19	 temp   	 a      	 Part1	 far_displaced 	 circle    	          2	 1.5               	 standard  	 staircase      	              2	 stair2                  	 Part1|far_displaced|standard|stair2 	 1.5            	 -1.5               	       0.3312	            3.4728	        89	                89	                  0	                 83	 left          	                10.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.433	             1	          0	             2	              0	           0	                2.1374	     3.8435	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      20	 temp   	 a      	 Part1	 near_displaced	 circle    	          2	 0.7               	 varying   	 staircase      	              1	 stair1                  	 Part1|near_displaced|varying|stair1 	 0.7            	 -0.7               	       1.379 	            4.5206	        89	                89	                  0	                 79	 left          	                 5.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.366	             1	          0	             3	              0	           0	                2.4293	     3.1471	 4.9178    	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      21	 temp   	 a      	 Part1	 near_displaced	 circle    	          2	 0.2               	 standard  	 attention_check	              0	 n/a                     	 -999                                	 -999           	 -999               	       4.0555	            0.9139	        89	                89	                  0	                 60	 right         	                 5.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.133	             1	          0	             3	              2	           1	                1.9448	     2.7746	 4.6523    	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      22	 temp   	 a      	 Part1	 far_displaced 	 circle    	          2	 0.7               	 standard  	 staircase      	              1	 stair1                  	 Part1|far_displaced|standard|stair1 	 0.7            	 -0.7               	       1.7792	            4.9207	        89	                89	                  0	                 71	 left          	                10.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.3  	             1	          0	             2	              0	           0	                2.9375	     4.0074	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      23	 temp   	 a      	 Part1	 far_displaced 	 circle    	          2	 0.7               	 varying   	 staircase      	              1	 stair1                  	 Part1|far_displaced|varying|stair1  	 0.7            	 -0.7               	       1.6431	            4.7847	        89	                89	                  0	                 92	 right         	                10.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.733	             1	          0	             2	              1	           0	                1.7586	     3.6205	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
      24	 temp   	 a      	 Part1	 centred       	 circle    	          2	 0.7               	 standard  	 staircase      	              1	 stair1                  	 Part1|centred|standard|stair1       	 0.7            	 -0.7               	       3.0226	            6.1642	        89	                89	                  0	                 72	 center        	                 0.0	 -999              	 ok     	            0	 -999         	 -999.0       	               5.332	             1	          0	             2	              0	           0	                2.5029	     3.5307	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999      	 -999
