trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
30	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	1.5	5.0017	1.8601	120	120	1	5.93	1	0	2	298	115	183	2.8119	3.5954	-999	-999	-999	-999	-999	-999	-999	-999
31	temp	1	Part1	centred	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	3.9634	0.8218	120	120	1	5.549	1	0	2	318	120	198	2.9275	3.7586	-999	-999	-999	-999	-999	-999	-999	-999
32	temp	1	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	1.5	0.5585	3.7001	120	120	1	6.466	1	0	2	287	119	168	3.0266	4.2616	-999	-999	-999	-999	-999	-999	-999	-999
33	temp	1	Part1	far_displaced	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	0.39999999999999997	1.5974	4.739	120	120	1	5.598	1	0	3	306	120	186	2.2868	3.1901	3.8757	-999	-999	-999	-999	-999	-999	-999
34	temp	1	Part1	centred	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	0.39999999999999997	0.5917	3.7333	120	120	1	5.816	1	0	2	317	118	199	2.9328	4.8952	-999	-999	-999	-999	-999	-999	-999	-999
35	temp	1	Part1	centred	circle	2	1.2	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	1.2	0.5643	3.7059	120	120	1	6.216	1	0	2	316	120	196	2.3015	3.5306	-999	-999	-999	-999	-999	-999	-999	-999
36	temp	1	Part1	near_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	1.5	3.7762	0.6346	120	120	1	6.614	1	0	3	319	120	199	2.3458	3.314	4.1883	-999	-999	-999	-999	-999	-999	-999
37	temp	1	Part1	centred	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	0.39999999999999997	4.5794	1.4378	120	120	1	5.966	1	0	2	319	120	199	2.852	3.9283	-999	-999	-999	-999	-999	-999	-999	-999
38	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	0.7	4.6651	1.5235	120	120	1	6.461	1	0	2	313	120	193	3.0651	3.9572	-999	-999	-999	-999	-999	-999	-999	-999
39	temp	1	Part1	near_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	1.5	6.1981	3.0565	120	120	0	6.063	1	0	2	318	119	199	3.0526	4.209	-999	-999	-999	-999	-999	-999	-999	-999
