trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	Part1|centred|standard|stair1	0.7	3.0	5.0896	1.948	120	0	14.612	1	0	3	312	118	194	1.7865	3.2513	4.9267	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|far_displaced|standard|stair1	0.7	3.0	5.6107	2.4691	120	0	14.456	1	0	2	256	97	159	2.706	3.7821	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|near_displaced|varying|stair1	0.7	3.0	2.0677	5.2093	120	0	10.666	1	0	2	292	120	172	2.5844	4.103	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|far_displaced|varying|stair1	0.7	3.0	4.4772	1.3356	120	1	5.933	1	0	2	303	114	189	2.9807	4.565	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|near_displaced|standard|stair1	0.7	3.0	3.9405	0.7989	120	1	5.666	1	0	2	269	101	168	1.8604	3.6144	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	4.0672	0.9256	120	1	5.73	1	0	2	272	96	176	3.0235	4.3525	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	-999	-999	-999	3.5788	0.4372	120	1	5.482	1	0	2	299	112	187	3.1189	3.6649	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	2	Part1|near_displaced|varying|stair2	1.8	1.9000000000000001	0.0299	3.1715	120	1	5.771	1	0	3	316	117	199	2.079	2.9505	3.8968	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	-999	-999	-999	5.6433	2.5017	120	1	5.792	1	0	2	279	99	180	2.9435	4.5804	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	5.5397	2.3981	120	1	5.295	1	0	2	289	120	169	2.7198	4.674	-999	-999	-999	-999	-999	-999	-999	-999
