trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
10	temp	1	Part1	far_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	4.2776	1.136	120	1	6.015	1	0	2	304	106	198	2.31	3.7678	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	Part1|far_displaced|standard|stair2	1.8	1.9000000000000001	0.7525	3.894	120	0	5.929	1	0	3	287	100	187	2.7194	3.2684	4.0139	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	3.8354	0.6938	120	1	6.195	1	0	2	262	108	154	3.1033	4.7138	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	5.5894	2.4478	120	1	5.428	1	0	3	264	107	157	1.9948	2.9667	3.7189	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	Part1|near_displaced|standard|stair2	1.8	1.9000000000000001	0.0651	3.2067	120	1	6.159	1	0	2	264	104	160	3.0448	3.6987	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	1.8171	4.9587	120	0	5.738	1	0	2	313	119	194	2.8035	3.6304	-999	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	far_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	6.0918	2.9503	120	1	6.016	1	0	2	293	95	198	2.4783	4.1745	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	4.1358	0.9942	120	1	5.962	1	0	3	276	108	168	2.3652	3.3831	4.1479	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	5.0815	1.94	120	1	5.801	1	0	2	278	94	184	2.303	3.5351	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	2.437	5.5786	120	1	5.362	1	0	3	308	114	194	2.6543	3.4952	4.4398	-999	-999	-999	-999	-999	-999	-999
20	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	1	Part1|far_displaced|standard|stair1	0.7	2.2	1.5692	4.7108	120	0	6.603	1	0	3	288	120	168	2.1914	3.3836	4.4164	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	2.2828	5.4244	120	0	5.067	1	0	4	309	111	198	1.7149	2.6173	3.4127	5.1858	-999	-999	-999	-999	-999	-999
22	temp	1	Part1	far_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	3.6529	0.5113	120	1	5.722	1	0	2	293	104	189	2.7737	3.9353	-999	-999	-999	-999	-999	-999	-999	-999
23	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	1.754	4.8956	120	1	5.521	1	0	2	293	115	178	2.9515	3.7456	-999	-999	-999	-999	-999	-999	-999	-999
24	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	3.7578	0.6162	120	1	5.562	1	0	3	282	92	190	1.7944	2.6025	4.3191	-999	-999	-999	-999	-999	-999	-999
