trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	4.6965	1.5549	120	120	0	7.549	1	0	4	319	120	199	1.8853	2.3923	3.4566	5.4067	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	1.2348	4.3764	120	120	1	7.165	1	0	2	319	120	199	1.7949	3.5551	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	0.9002	4.0418	120	120	1	6.882	1	0	2	319	120	199	2.4708	3.8959	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	3.8055	0.6639	120	120	1	6.666	1	0	3	319	120	199	1.7476	3.0533	4.68	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	4.3515	1.2099	120	120	0	6.916	1	0	3	319	120	199	2.7294	3.2493	3.8321	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	4.8635	1.7219	120	120	1	6.833	1	0	2	319	120	199	2.3503	3.5079	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	3.3196	0.178	120	120	1	6.55	1	0	2	319	120	199	2.7036	4.447	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	2.031	5.1726	120	120	1	6.866	1	0	2	319	120	199	3.1589	4.1254	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	4.6578	1.5162	120	120	1	6.699	1	0	2	319	120	199	2.8518	4.2666	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	2.7721	5.9137	120	120	1	6.483	1	0	2	319	120	199	2.596	3.7104	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	0.7	1.7732	4.9148	120	120	1	7.233	1	0	2	319	120	199	2.0275	3.9217	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	0.7	4.1659	1.0243	120	120	0	6.916	1	0	3	319	120	199	1.8627	3.1978	3.9317	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	0.7	5.2056	2.064	120	120	1	6.533	1	0	2	317	120	197	2.4645	3.6177	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	0.7	2.3242	5.4658	120	120	1	14.166	1	0	3	317	120	197	1.7246	2.9134	4.8734	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	0.7	0.6003	3.7419	120	120	1	7.716	1	0	3	319	120	199	1.7259	2.8482	4.5244	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	1.5	0.2816	3.4232	120	120	0	15.633	1	0	2	319	120	199	2.848	4.5923	-999	-999	-999	-999	-999	-999	-999	-999
