trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|far_displaced|varying|stair1	0.7	3.0	0.6416	3.7832	120	1	5.362	1	0	3	295	104	191	2.4928	3.0649	4.7798	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	Part1|centred|standard|stair1	0.7	3.0	2.4491	5.5907	120	1	5.332	1	0	3	317	119	198	1.8524	2.6068	3.7849	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|far_displaced|standard|stair1	0.7	3.0	0.3462	3.4878	120	1	5.333	1	0	2	317	118	199	3.0348	3.5972	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|near_displaced|varying|stair1	0.7	3.0	3.2039	0.0623	120	1	5.35	1	0	2	319	120	199	2.8993	4.1056	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|near_displaced|standard|stair1	0.7	3.0	5.9866	2.845	120	1	5.35	1	0	3	319	120	199	2.6507	3.3201	5.2622	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	2.5807	5.7223	120	1	5.185	1	0	3	287	117	170	1.7321	3.4171	5.4147	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	Part1|near_displaced|standard|stair2	1.8	1.9000000000000001	5.6384	2.4968	120	1	5.364	1	0	3	319	120	199	2.5593	3.3321	4.1269	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	-999	-999	-999	5.9745	2.833	120	1	5.186	1	0	2	318	119	199	1.7481	3.5662	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	3.1907	0.0491	120	1	5.188	1	0	3	319	120	199	1.9627	3.1738	4.3369	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	1.5	standard	staircase	1	Part1|near_displaced|standard|stair1	0.7	2.2	0.2973	3.4389	120	1	5.392	1	0	2	315	119	196	2.7849	4.2852	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	far_displaced	circle	2	0.5	varying	attention_check	0	-999	-999	-999	2.157	5.2986	120	1	5.224	1	0	3	302	120	182	2.7239	3.2912	5.2252	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	4.6943	1.5527	120	1	5.188	1	0	2	319	120	199	2.5348	4.442	-999	-999	-999	-999	-999	-999	-999	-999
