trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	1.0937	4.2353	120	120	1	5.394	1	0	2	305	115	190	3.1675	4.4796	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	4.9301	1.7885	120	120	1	5.332	1	0	3	270	112	158	1.7857	3.4503	5.2446	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	2.6844	5.826	120	120	1	5.35	1	0	2	288	113	175	2.9235	4.4259	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	4.3806	1.239	120	120	1	5.399	1	0	2	282	111	171	2.1364	3.8616	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	3.7678	0.6263	120	120	1	5.366	1	0	2	292	120	172	2.8485	3.6839	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.1000000000000003	0.967	4.1086	120	120	1	5.433	1	0	2	278	95	183	2.5723	3.5776	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	2.1622	5.3038	120	120	1	5.383	1	0	2	319	120	199	2.9762	4.3874	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.1000000000000003	2.0472	5.1888	120	120	1	5.399	1	0	2	319	120	199	2.0613	3.5904	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.1000000000000003	5.4394	2.2978	120	120	1	5.466	1	0	3	294	112	182	1.8366	3.4313	4.7595	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	4.8258	1.6842	120	120	1	5.45	1	0	3	307	118	189	2.2577	3.425	4.1164	-999	-999	-999	-999	-999	-999	-999
