trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	1.4404	4.582	120	120	0	15.344	1	0	2	319	120	199	1.7678	3.5744	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	0.7816	3.9232	120	120	0	15.359	1	0	3	319	120	199	2.0427	2.6348	3.8592	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	3.8479	0.7063	120	120	0	15.334	1	0	2	319	120	199	3.16	4.1894	-999	-999	-999	-999	-999	-999	-999	-999
