trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part2	diamond	diamond	2	0.7000000000000002	shape	staircase	1	Part2|diamond|stair1	0.7	3.0	0.569	3.7106	120	1	5.314	1	0	2	267	102	165	2.6082	3.9488	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part2	ellipse	ellipse	2	0.7000000000000002	shape	staircase	1	Part2|ellipse|stair1	0.7	3.0	6.2161	3.0745	120	1	5.316	1	0	2	310	120	190	2.6492	3.5264	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part2	sine_circle	sine_circle	2	0.7000000000000002	shape	staircase	1	Part2|sine_circle|stair1	0.7	3.0	0.1958	3.3374	120	1	5.297	1	0	3	316	120	196	1.9559	2.9231	4.5752	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part2	diamond	diamond	2	0.5	shape	attention_check	0	-999	-999	-999	5.5185	2.3769	120	1	5.193	1	0	2	312	113	199	2.9048	4.6082	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part2	diamond	diamond	2	0.5	shape	attention_check	0	-999	-999	-999	2.8864	6.028	120	1	5.188	1	0	2	289	118	171	2.1353	3.8531	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part2	diamond	diamond	2	1.8	shape	staircase	2	Part2|diamond|stair2	1.8	1.9000000000000001	5.7148	2.5732	120	1	5.319	1	0	2	274	109	165	3.0578	4.7386	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part2	diamond	diamond	2	0.5	shape	attention_check	0	-999	-999	-999	5.1401	1.9985	120	1	5.187	1	0	2	318	119	199	3.039	4.909	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part2	ellipse	ellipse	2	0.5	shape	attention_check	0	-999	-999	-999	3.7653	0.6237	120	1	5.499	1	0	3	315	119	196	2.0055	3.0536	4.5207	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part2	ellipse	ellipse	2	0.5	shape	attention_check	0	-999	-999	-999	0.6034	3.745	120	1	5.188	1	0	2	317	120	197	2.9756	4.0266	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part2	ellipse	ellipse	2	0.5	shape	attention_check	0	-999	-999	-999	0.8127	3.9543	120	1	5.188	1	0	3	318	120	198	1.9527	2.8856	3.9233	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part2	ellipse	ellipse	2	0.5	shape	attention_check	0	-999	-999	-999	0.6251	3.7667	120	1	5.188	1	0	3	319	120	199	2.3114	2.9712	4.8828	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part2	sine_circle	sine_circle	2	0.5	shape	attention_check	0	-999	-999	-999	2.8633	6.0049	120	1	5.282	1	0	2	314	118	196	2.1347	3.5951	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part2	sine_circle	sine_circle	2	0.5	shape	attention_check	0	-999	-999	-999	2.606	5.7476	120	1	5.188	1	0	3	318	120	198	2.414	2.9599	3.5643	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part2	sine_circle	sine_circle	2	0.5	shape	attention_check	0	-999	-999	-999	5.6634	2.5219	120	1	5.188	1	0	2	316	119	197	3.0566	3.5743	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part2	sine_circle	sine_circle	2	1.8	shape	staircase	2	Part2|sine_circle|stair2	1.8	1.9000000000000001	1.1474	4.289	120	1	5.354	1	0	2	318	120	198	1.8837	3.7955	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part2	sine_circle	sine_circle	2	1.5	shape	staircase	1	Part2|sine_circle|stair1	0.7	2.2	3.6962	0.5546	120	1	5.366	1	0	3	302	120	182	2.729	3.3958	4.9333	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part2	ellipse	ellipse	2	0.5	shape	attention_check	0	-999	-999	-999	4.8344	1.6928	120	1	5.258	1	0	3	289	118	171	1.7306	2.5392	3.5155	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part2	ellipse	ellipse	2	1.8	shape	staircase	2	Part2|ellipse|stair2	1.8	1.9000000000000001	4.5894	1.4479	120	1	5.342	1	0	3	296	120	176	1.7774	3.2327	4.5426	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part2	diamond	diamond	2	0.5	shape	attention_check	0	-999	-999	-999	2.2705	5.4121	120	1	5.181	1	0	2	289	120	169	2.4477	3.543	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part2	diamond	diamond	2	0.5	shape	attention_check	0	-999	-999	-999	4.329	1.1874	120	1	5.189	1	0	2	318	120	198	2.092	3.8116	-999	-999	-999	-999	-999	-999	-999	-999
