trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialOutcome	trialExcluded	fixBreakFrame	fixBreakDistanceDeg	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	a	Part1	far_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	1.1593	4.3009	143	143	1	112	left	10.0	-999	excluded	1	101	2.6903	4.619	1	0	2	0	0	2.9513	4.8026	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	a	Part1	near_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	2.407	5.5486	143	143	1	139	right	5.0	0	14.53	1	0	2	2	2	1.8423	3.5629	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	a	Part1	centred	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	0.9144	4.056	143	143	1	153	center	0.0	-999	excluded	1	0	inf	6.651	1	0	3	0	0	2.48	3.1807	4.8729	-999	-999	-999	-999	-999	-999	-999
3	temp	a	Part1	near_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	5.9841	2.8425	143	143	1	152	left	5.0	-999	excluded	1	102	2.2282	40.033	1	0	2	0	0	3.0867	4.013	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	a	Part1	far_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	2.6057	5.7473	143	143	1	100	right	10.0	-999	excluded	1	340	inf	8.354	1	0	3	0	0	2.0429	3.0915	4.1894	-999	-999	-999	-999	-999	-999	-999
5	temp	a	Part1	far_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	0.0418	3.1834	143	143	1	116	right	10.0	1	12.687	1	0	3	5	5	2.4027	3.3739	4.1488	-999	-999	-999	-999	-999	-999	-999
6	temp	a	Part1	far_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	1.8642	5.0058	143	143	1	149	left	10.0	-999	excluded	1	0	inf	69.158	1	0	2	0	0	2.4377	3.7941	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	a	Part1	near_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	1.7329	4.8745	143	143	1	124	left	5.0	-999	excluded	1	0	1.5994	4.266	1	0	2	0	0	2.2284	4.1001	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	a	Part1	centred	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	1.4267	4.5683	143	143	1	114	center	0.0	1	5.517	1	0	2	56	43	2.8726	4.1239	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	a	Part1	near_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	0.546	3.6876	143	143	1	124	right	5.0	1	5.693	1	0	2	6	3	2.4911	3.5735	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	a	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	3.5898	0.4482	143	143	1	123	left	10.0	1	6.899	1	0	2	0	0	2.4519	3.54	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	a	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	2.635	5.7766	143	143	1	136	center	0.0	0	5.9	1	0	2	1	0	2.813	4.3299	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	a	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.7	4.4477	1.3061	143	143	1	133	right	10.0	0	5.983	1	0	2	6	0	2.7877	4.1683	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	a	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	5.6231	2.4815	143	143	1	105	right	5.0	0	9.367	1	0	2	1	0	2.9369	3.6307	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	a	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	2.065	5.2066	143	143	1	147	left	5.0	0	12.364	1	0	3	39	31	1.7148	3.3709	4.7311	-999	-999	-999	-999	-999	-999	-999
15	temp	a	Part1	near_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-1.5	0.642	3.7836	143	143	1	144	left	5.0	0	14.849	1	0	3	1	1	1.8092	3.2893	5.2674	-999	-999	-999	-999	-999	-999	-999
16	temp	a	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.5	2.3972	5.5388	143	143	1	118	right	10.0	1	6.432	1	0	2	1	1	3.1587	4.1758	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	a	Part1	near_displaced	circle	2	0.39999999999999997	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.39999999999999997	1.2053	4.3469	143	143	1	104	left	5.0	1	5.666	1	0	2	5	3	2.8304	3.7455	-999	-999	-999	-999	-999	-999	-999	-999
18	temp	a	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.5	0.6585	3.8001	143	143	1	101	center	0.0	0	7.366	1	0	3	3	0	2.1503	3.42	4.5019	-999	-999	-999	-999	-999	-999	-999
19	temp	a	Part1	centred	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.39999999999999997	6.1951	3.0535	143	143	1	123	center	0.0	1	6.283	1	0	2	0	0	2.6159	3.6289	-999	-999	-999	-999	-999	-999	-999	-999
20	temp	a	Part1	near_displaced	circle	2	1.2	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-1.2	3.88	0.7384	143	143	1	127	right	5.0	0	11.916	1	0	2	96	70	1.761	3.5648	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	a	Part1	centred	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	4.1871	1.0455	143	143	1	149	center	0.0	1	12.182	1	0	2	7	6	2.1319	3.9719	-999	-999	-999	-999	-999	-999	-999	-999
