trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	near_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	2.3613	5.5029	89	89	0	6.576	1	0	2	4	2	2	2.8853	4.2095	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	far_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	1.1733	4.3149	89	89	1	4.438	1	0	4	3	0	3	1.8308	2.5435	3.4652	5.4135	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	2.5737	5.7153	89	89	0	4.117	1	0	2	0	0	0	1.9632	3.8772	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	centred	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	1.7397	4.8813	89	89	0	4.455	1	0	2	0	0	0	1.9191	3.8828	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	3.6815	0.5399	89	89	1	4.402	1	0	2	0	0	0	3.0616	4.0578	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	far_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	2.9427	6.0842	89	89	1	4.508	1	0	2	2	0	2	2.6335	4.2753	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	1.7418	4.8834	89	89	1	4.562	1	0	2	1	0	1	3.13	4.9222	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	2.4862	5.6278	89	89	0	4.347	1	0	2	0	0	0	2.8837	4.8466	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	centred	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	4.8036	1.662	89	89	0	4.134	1	0	3	0	0	0	2.4103	3.4553	4.1753	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	4.8272	1.6856	89	89	1	4.415	1	0	3	0	0	0	2.4872	3.4736	4.1679	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	0.8013	3.9429	89	89	0	4.033	1	0	2	1	1	0	2.7988	4.5811	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.7	1.8615	5.0031	89	89	1	4.2	1	0	2	2	0	2	2.3177	3.7498	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	3.5233	0.3818	89	89	1	4.45	1	0	4	1	0	1	1.9693	2.6059	3.1997	4.0795	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	1.4904	4.632	89	89	1	5.116	1	0	2	0	0	0	3.1927	4.298	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	2.0243	5.1658	89	89	1	7.033	1	0	2	0	0	0	2.8501	3.7785	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.5	1.4587	4.6003	89	89	0	4.85	1	0	2	0	0	0	2.3767	4.3492	-999	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.5	0.0862	3.2278	89	89	1	4.9	1	0	2	1	0	1	2.1744	3.5416	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	3.594	0.4524	89	89	1	4.883	1	0	2	1	0	1	2.5613	4.3673	-999	-999	-999	-999	-999	-999	-999	-999
