trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
98	temp	1	Part1	near_displaced	circle	2	1.9000000000000004	standard	staircase	1.4711	4.6127	120	0	5.495	1	0	3	2.2746	3.3294	3.9679	-999	-999	-999	-999	-999	-999	-999
99	temp	1	Part1	near_displaced	circle	2	1.8500000000000003	standard	staircase	3.097	6.2385	120	1	5.482	1	0	2	2.0917	3.5851	-999	-999	-999	-999	-999	-999	-999	-999
100	temp	1	Part1	near_displaced	circle	2	1.8500000000000003	standard	staircase	6.178	3.0364	120	1	5.227	1	0	3	2.5422	3.1534	4.8384	-999	-999	-999	-999	-999	-999	-999
101	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	0.4609	3.6025	120	1	5.425	1	0	3	1.7253	2.4562	4.3903	-999	-999	-999	-999	-999	-999	-999
102	temp	1	Part1	centred	circle	2	1.6500000000000004	standard	staircase	4.0499	0.9083	120	1	5.415	1	0	2	2.5628	4.3618	-999	-999	-999	-999	-999	-999	-999	-999
103	temp	1	Part1	near_displaced	circle	2	1.9000000000000004	varying	staircase	3.6854	0.5438	120	1	5.413	1	0	2	2.8264	3.521	-999	-999	-999	-999	-999	-999	-999	-999
104	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	0.4625	3.6041	120	1	5.708	1	0	2	2.5043	3.643	-999	-999	-999	-999	-999	-999	-999	-999
105	temp	1	Part1	near_displaced	circle	2	1.8500000000000003	standard	staircase	5.6297	2.4881	120	1	5.708	1	0	3	1.9932	3.2096	4.5209	-999	-999	-999	-999	-999	-999	-999
106	temp	1	Part1	near_displaced	circle	2	1.9000000000000004	varying	staircase	2.255	5.3966	120	1	6.028	1	0	2	2.6745	4.1045	-999	-999	-999	-999	-999	-999	-999	-999
107	temp	1	Part1	near_displaced	circle	2	1.9000000000000004	standard	staircase	1.4287	4.5703	120	1	5.602	1	0	2	2.7593	4.6128	-999	-999	-999	-999	-999	-999	-999	-999
108	temp	1	Part1	centred	circle	2	1.6500000000000004	standard	staircase	3.2394	0.0979	120	1	5.748	1	0	2	2.6877	4.5219	-999	-999	-999	-999	-999	-999	-999	-999
109	temp	1	Part1	near_displaced	circle	2	1.9000000000000004	standard	staircase	2.3927	5.5343	120	1	5.704	1	0	2	2.9055	3.8225	-999	-999	-999	-999	-999	-999	-999	-999
