trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	3.4721	0.3305	120	120	0	5.502	1	0	2	303	119	184	2.1685	4.0521	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	4.7089	1.5673	120	120	0	5.372	1	0	3	319	120	199	2.2586	2.9048	4.1233	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	4.4461	1.3045	120	120	1	5.725	1	0	2	315	120	195	2.9932	4.0442	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	5.3338	2.1922	120	120	0	8.199	1	0	3	314	120	194	1.7525	3.2629	3.9669	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	4.2868	1.1452	120	120	1	6.455	1	0	2	318	119	199	2.9952	3.7658	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	2.9773	6.1189	120	120	0	5.775	1	0	2	319	120	199	2.6973	4.6481	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	0.1317	3.2733	120	120	1	5.522	1	0	2	317	120	197	3.1463	4.5604	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	2.2195	5.3611	120	120	1	6.562	1	0	2	304	120	184	2.4516	4.3946	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	3.9741	0.8325	120	120	1	5.975	1	0	2	315	116	199	2.7307	3.7194	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	3.196	0.0544	120	120	1	5.989	1	0	3	316	120	196	1.741	3.1275	4.5103	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	0.7	3.7368	0.5952	120	120	1	5.967	1	0	4	318	120	198	1.7807	2.2966	3.4332	4.2233	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	0.7	0.293	3.4346	120	120	1	6.899	1	0	3	318	119	199	1.7853	2.5116	4.0591	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	0.7	1.2028	4.3443	120	120	1	6.016	1	0	3	305	117	188	2.5743	3.1965	4.2169	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	0.7	3.8291	0.6875	120	120	1	5.383	1	0	3	317	120	197	1.855	2.931	4.2333	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	0.7	3.1068	6.2484	120	120	1	5.7	1	0	3	287	120	167	2.0764	2.6886	4.0181	-999	-999	-999	-999	-999	-999	-999
