trialnum	subject	session	part	condition	basicShape	numObjects	speed	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
39	temp	1	Part1_2_Combined	near_displaced	circle	2	0.03	3.5268	0.3852	120	1	6.028	1	0	2	2.1913	3.852	-999	-999	-999	-999	-999	-999	-999	-999
40	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	4.7553	1.6137	120	0	5.682	1	0	4	1.9499	2.7402	3.258	4.9664	-999	-999	-999	-999	-999	-999
41	temp	1	Part1_2_Combined	near_displaced	circle	2	0.9999999999999998	4.6828	1.5412	120	1	5.801	1	0	3	2.5759	3.1862	4.4633	-999	-999	-999	-999	-999	-999	-999
42	temp	1	Part1_2_Combined	centred	circle	2	1.9999999999999996	0.7049	3.8465	120	0	5.655	1	0	3	1.9615	3.0461	4.0302	-999	-999	-999	-999	-999	-999	-999
43	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	1.7061	4.8477	120	1	5.735	1	0	3	2.3727	3.0206	4.0682	-999	-999	-999	-999	-999	-999	-999
44	temp	1	Part1_2_Combined	near_displaced	circle	2	0.03	2.4282	5.5698	120	1	5.241	1	0	2	1.8274	3.632	-999	-999	-999	-999	-999	-999	-999	-999
45	temp	1	Part1_2_Combined	near_displaced	circle	2	0.9999999999999998	4.4715	1.3299	120	1	5.509	1	0	3	2.3537	3.1086	3.9903	-999	-999	-999	-999	-999	-999	-999
46	temp	1	Part1_2_Combined	near_displaced	circle	2	0.9999999999999998	3.4027	0.2611	120	1	5.415	1	0	2	2.9315	3.6838	-999	-999	-999	-999	-999	-999	-999	-999
47	temp	1	Part1_2_Combined	centred	circle	2	2.1999999999999997	6.1014	2.9598	120	0	5.614	1	0	2	2.8836	4.2157	-999	-999	-999	-999	-999	-999	-999	-999
48	temp	1	Part1_2_Combined	centred	circle	2	2.2	1.6983	4.8399	120	1	5.548	1	0	2	3.132	4.9664	-999	-999	-999	-999	-999	-999	-999	-999
