trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	centred	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	0.9315	4.0731	120	120	1	5.444	1	0	3	317	120	197	2.4426	3.1217	3.6419	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	2.3416	5.4832	120	120	1	6.107	1	0	2	319	120	199	3.0713	4.7878	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	3.3072	0.1657	120	120	0	5.349	1	0	3	316	117	199	2.191	2.8927	4.7886	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	0.4778	3.6194	120	120	1	6.002	1	0	3	305	115	190	1.9537	3.2062	4.8393	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	2.3945	5.5361	120	120	1	7.709	1	0	3	319	120	199	1.7718	2.6959	4.2729	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	1.2581	4.3997	120	120	0	5.495	1	0	3	318	119	199	1.7648	3.259	4.7501	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	1.4649	4.6065	120	120	1	6.655	1	0	2	319	120	199	2.9501	4.7256	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	4.3416	1.2	120	120	0	5.322	1	0	2	319	120	199	2.0255	3.588	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	1.9099	5.0515	120	120	1	6.042	1	0	4	318	119	199	1.7777	2.7174	3.4338	5.098	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	centred	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	0.3059	3.4475	120	120	0	5.188	1	0	2	319	120	199	3.0459	4.1018	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	1.1361	4.2777	120	120	0	5.716	1	0	2	287	119	168	3.171	4.7309	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.7	3.8944	0.7528	120	120	0	5.833	1	0	3	318	119	199	1.8883	2.5562	4.3588	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	1.4176	4.5592	120	120	1	5.383	1	0	3	285	120	165	2.3427	3.0678	3.5692	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	1.4021	4.5437	120	120	1	5.65	1	0	2	293	110	183	3.1197	4.6264	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	0.0048	3.1464	120	120	1	5.383	1	0	2	317	120	197	2.3982	3.8533	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	near_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	-1.5	2.2034	5.345	120	120	1	5.483	1	0	2	248	89	159	2.8211	4.0071	-999	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.5	4.042	0.9004	120	120	1	5.6	1	0	3	300	101	199	2.1696	3.145	4.9318	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.5	1.9506	5.0922	120	120	1	5.483	1	0	2	291	119	172	2.1732	3.7815	-999	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	5.7543	2.6127	120	120	1	5.466	1	0	3	312	113	199	1.9045	3.3888	4.1301	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.5	1.352	4.4935	120	120	1	5.783	1	0	2	319	120	199	3.0034	4.8086	-999	-999	-999	-999	-999	-999	-999	-999
20	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	2.3525	5.494	120	120	1	5.583	1	0	2	312	113	199	2.7325	3.6102	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1	near_displaced	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	4.5612	1.4196	120	120	1	4.966	1	0	2	319	120	199	2.6435	3.5184	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	Part1	far_displaced	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.39999999999999997	1.621	4.7626	120	120	1	5.466	1	0	2	317	120	197	2.8897	4.4434	-999	-999	-999	-999	-999	-999	-999	-999
