trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	a	Part1	far_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	5.2665	2.1249	89	89	0	77	right	10.0	1	6.255	1	0	3	0	0	1.8861	2.6355	3.9455	-999	-999	-999	-999	-999	-999	-999
1	temp	a	Part1	near_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	3.4035	0.2619	89	89	0	89	left	5.0	0	5.493	1	0	2	3	2	3.1135	4.3192	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	a	Part1	near_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	6.068	2.9264	89	89	0	60	left	5.0	0	5.281	1	0	3	0	0	2.4724	3.0842	4.3777	-999	-999	-999	-999	-999	-999	-999
3	temp	a	Part1	far_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	3.4976	0.356	89	89	0	88	right	10.0	0	5.335	1	0	2	0	0	2.1012	3.8912	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	a	Part1	centred	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	2.3327	5.4743	89	89	0	80	center	0.0	1	5.094	1	0	2	0	0	2.1299	3.6838	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	a	Part1	centred	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	1.5975	4.7391	89	89	0	83	center	0.0	1	6.269	1	0	2	1	1	2.2321	4.1144	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	a	Part1	near_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	3.7486	0.607	89	89	0	89	right	5.0	1	5.228	1	0	2	0	0	1.8137	3.613	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	a	Part1	far_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	1.5592	4.7008	89	89	0	95	left	10.0	1	5.469	1	0	2	0	0	3.0009	4.7614	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	a	Part1	far_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	2.9695	6.1111	89	89	0	80	left	10.0	0	5.015	1	0	3	0	0	2.5197	3.3572	4.0776	-999	-999	-999	-999	-999	-999	-999
9	temp	a	Part1	near_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	2.8369	5.9785	89	89	0	79	right	5.0	1	5.362	1	0	2	0	0	2.8166	4.6549	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	a	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	3.847	0.7054	89	89	0	90	right	10.0	1	5.667	1	0	2	1	1	2.3815	3.5391	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	a	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	1.4025	4.5441	89	89	0	61	left	5.0	1	4.983	1	0	2	0	0	2.4944	4.4891	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	a	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	0.6123	3.7539	89	89	0	83	left	5.0	1	5.5	1	0	2	0	0	1.8671	3.7742	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	a	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.7	0.8142	3.9558	89	89	0	90	right	10.0	0	5.45	1	0	3	0	0	2.5507	3.0644	3.8095	-999	-999	-999	-999	-999	-999	-999
14	temp	a	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	1.147	4.2886	89	89	0	81	center	0.0	1	5.232	1	0	2	0	0	2.6844	4.3107	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	a	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.5	5.6811	2.5395	89	89	0	94	left	10.0	0	5.783	1	0	3	1	1	1.9194	3.4029	4.5978	-999	-999	-999	-999	-999	-999	-999
16	temp	a	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	0.9509	4.0925	89	89	0	95	right	10.0	0	6.016	1	0	2	1	1	2.9926	3.9831	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	a	Part1	far_displaced	circle	2	1.2	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.2	1.0092	4.1508	89	89	0	78	right	10.0	0	14.433	1	0	2	0	0	2.2454	3.5162	-999	-999	-999	-999	-999	-999	-999	-999
18	temp	a	Part1	near_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-1.5	5.7043	2.5627	89	89	0	73	left	5.0	0	12.549	1	0	2	0	0	2.9231	3.9321	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	a	Part1	near_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	-1.5	1.5046	4.6461	89	89	0	79	right	5.0	1	7.149	1	0	3	0	0	2.865	3.3796	4.6478	-999	-999	-999	-999	-999	-999	-999
20	temp	a	Part1	far_displaced	circle	2	0.39999999999999997	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.39999999999999997	3.8377	0.6961	89	89	0	76	left	10.0	1	6.333	1	0	2	0	0	2.518	4.3512	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	a	Part1	centred	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	0.0782	3.2198	89	89	0	66	center	0.0	1	6.2	1	0	2	0	0	2.4455	3.5508	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	a	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.5	3.8366	0.695	89	89	0	82	center	0.0	0	6.533	1	0	2	0	0	2.0336	3.4753	-999	-999	-999	-999	-999	-999	-999	-999
23	temp	a	Part1	far_displaced	circle	2	0.8999999999999999	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-0.8999999999999999	1.1985	4.3401	89	89	0	70	right	10.0	1	7.1	1	0	2	1	1	2.4255	3.7612	-999	-999	-999	-999	-999	-999	-999	-999
24	temp	a	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	5.0069	1.8653	89	89	0	78	center	0.0	1	6.349	1	0	2	2	1	3.074	5.0012	-999	-999	-999	-999	-999	-999	-999	-999
25	temp	a	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	2.5176	5.6592	89	89	0	91	left	5.0	1	6.531	1	0	2	1	1	2.8455	4.6048	-999	-999	-999	-999	-999	-999	-999	-999
26	temp	a	Part1	centred	circle	2	1.2	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.2	1.0642	4.2058	89	89	0	93	center	0.0	1	9.466	1	0	2	0	0	3.0132	4.7223	-999	-999	-999	-999	-999	-999	-999	-999
27	temp	a	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	2.904	6.0456	89	89	0	80	left	5.0	1	6.082	1	0	2	0	0	2.9756	4.63	-999	-999	-999	-999	-999	-999	-999	-999
28	temp	a	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	0.4376	3.5792	89	89	0	60	center	0.0	1	6.179	1	0	3	1	1	1.9108	3.3462	4.1924	-999	-999	-999	-999	-999	-999	-999
29	temp	a	Part1	far_displaced	circle	2	0.39999999999999997	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.39999999999999997	2.2835	5.4251	89	89	0	78	right	10.0	1	6.0	1	0	3	2	2	1.7317	2.619	3.9291	-999	-999	-999	-999	-999	-999	-999
30	temp	a	Part1	near_displaced	circle	2	1.2	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-1.2	1.7321	4.8737	89	89	0	89	left	5.0	0	7.666	1	0	2	4	3	2.8052	3.5551	-999	-999	-999	-999	-999	-999	-999	-999
31	temp	a	Part1	far_displaced	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	5.4768	2.3352	89	89	0	89	right	10.0	1	6.883	1	0	2	2	2	3.1891	3.8752	-999	-999	-999	-999	-999	-999	-999	-999
32	temp	a	Part1	near_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	-1.5	4.5861	1.4445	89	89	0	79	left	5.0	1	6.249	1	0	2	0	0	3.0037	4.3852	-999	-999	-999	-999	-999	-999	-999	-999
33	temp	a	Part1	far_displaced	circle	2	0.8999999999999999	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-0.8999999999999999	4.3301	1.1885	89	89	0	87	right	10.0	1	6.083	1	0	2	7	7	2.5337	3.9817	-999	-999	-999	-999	-999	-999	-999	-999
34	temp	a	Part1	centred	circle	2	1.2	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.2	5.4724	2.3308	89	89	0	90	center	0.0	0	9.496	1	0	3	0	0	2.2815	2.902	4.7067	-999	-999	-999	-999	-999	-999	-999
35	temp	a	Part1	centred	circle	2	1.0	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-1.0	2.5623	5.7039	89	89	0	81	center	0.0	0	9.479	1	0	3	0	0	2.2666	3.4217	4.816	-999	-999	-999	-999	-999	-999	-999
36	temp	a	Part1	far_displaced	circle	2	0.39999999999999997	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.39999999999999997	1.3391	4.4807	89	89	0	67	right	10.0	0	14.449	1	0	3	0	0	2.0967	2.8024	4.111	-999	-999	-999	-999	-999	-999	-999
37	temp	a	Part1	far_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.5	2.3602	5.5018	89	89	0	66	left	10.0	0	7.449	1	0	3	3	0	2.6831	3.2261	4.1986	-999	-999	-999	-999	-999	-999	-999
38	temp	a	Part1	far_displaced	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.39999999999999997	5.6936	2.552	89	89	0	67	left	10.0	1	6.883	1	0	3	1	1	2.0208	3.1261	3.8298	-999	-999	-999	-999	-999	-999	-999
39	temp	a	Part1	far_displaced	circle	2	1.2	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.2	3.0584	6.2	89	89	0	74	right	10.0	1	7.117	1	0	2	0	0	2.0927	4.0613	-999	-999	-999	-999	-999	-999	-999	-999
40	temp	a	Part1	centred	circle	2	0.8999999999999999	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-0.8999999999999999	2.8127	5.9543	89	89	0	90	center	0.0	1	6.412	1	0	2	1	1	1.7435	3.478	-999	-999	-999	-999	-999	-999	-999	-999
41	temp	a	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	4.1132	0.9716	89	89	0	85	center	0.0	1	6.616	1	0	2	0	0	2.8561	4.7652	-999	-999	-999	-999	-999	-999	-999	-999
42	temp	a	Part1	far_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	4.8888	1.7472	89	89	0	73	left	10.0	1	6.45	1	0	2	2	0	3.1287	4.0136	-999	-999	-999	-999	-999	-999	-999	-999
43	temp	a	Part1	centred	circle	2	0.8999999999999999	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-0.8999999999999999	1.0587	4.2003	89	89	0	80	center	0.0	1	6.131	1	0	2	0	0	2.2923	4.1469	-999	-999	-999	-999	-999	-999	-999	-999
44	temp	a	Part1	far_displaced	circle	2	0.8999999999999999	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-0.8999999999999999	0.7909	3.9325	89	89	0	64	right	10.0	1	6.033	1	0	3	3	3	2.2504	3.1846	4.1444	-999	-999	-999	-999	-999	-999	-999
45	temp	a	Part1	far_displaced	circle	2	0.2	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.2	1.6805	4.8221	89	89	0	70	left	10.0	1	8.2	1	0	3	2	2	1.9956	2.9126	3.7384	-999	-999	-999	-999	-999	-999	-999
46	temp	a	Part1	far_displaced	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.39999999999999997	3.5233	0.3817	89	89	0	85	right	10.0	0	6.849	1	0	2	0	0	3.108	4.662	-999	-999	-999	-999	-999	-999	-999	-999
47	temp	a	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	2.0504	5.192	89	89	0	97	center	0.0	0	6.333	1	0	2	11	8	2.8942	4.8625	-999	-999	-999	-999	-999	-999	-999	-999
48	temp	a	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	5.5435	2.4019	89	89	0	84	left	5.0	1	7.666	1	0	2	2	1	3.1179	4.4865	-999	-999	-999	-999	-999	-999	-999	-999
49	temp	a	Part1	far_displaced	circle	2	1.2	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.2	4.8445	1.7029	89	89	0	64	right	10.0	1	6.232	1	0	3	3	2	1.7053	2.3527	3.761	-999	-999	-999	-999	-999	-999	-999
50	temp	a	Part1	far_displaced	circle	2	1.2	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.2	2.5481	5.6897	89	89	0	87	right	10.0	1	7.199	1	0	2	0	0	1.8031	3.6423	-999	-999	-999	-999	-999	-999	-999	-999
51	temp	a	Part1	far_displaced	circle	2	0.2	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.2	5.2052	2.0636	89	89	0	62	left	10.0	1	6.399	1	0	3	0	0	2.6663	3.2084	4.7162	-999	-999	-999	-999	-999	-999	-999
52	temp	a	Part1	near_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	-1.5	0.4434	3.585	89	89	0	94	left	5.0	1	6.132	1	0	2	0	0	2.8745	3.5134	-999	-999	-999	-999	-999	-999	-999	-999
53	temp	a	Part1	centred	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	5.9824	2.8408	89	89	0	95	center	0.0	1	6.699	1	0	2	1	1	3.0846	3.6402	-999	-999	-999	-999	-999	-999	-999	-999
54	temp	a	Part1	near_displaced	circle	2	1.0	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-1.0	4.0675	0.9259	89	89	0	62	right	5.0	0	6.733	1	0	2	4	3	1.9548	3.8602	-999	-999	-999	-999	-999	-999	-999	-999
55	temp	a	Part1	far_displaced	circle	2	0.2	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.2	5.6517	2.5101	89	89	0	73	left	10.0	1	6.299	1	0	2	1	1	2.8879	3.7145	-999	-999	-999	-999	-999	-999	-999	-999
56	temp	a	Part1	centred	circle	2	0.8999999999999999	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-0.8999999999999999	0.4435	3.5851	89	89	0	90	center	0.0	1	6.45	1	0	3	1	1	2.3252	2.9892	4.2772	-999	-999	-999	-999	-999	-999	-999
57	temp	a	Part1	far_displaced	circle	2	1.2	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.2	4.8223	1.6807	89	89	0	61	right	10.0	1	6.183	1	0	3	0	0	2.1401	2.7441	4.2727	-999	-999	-999	-999	-999	-999	-999
58	temp	a	Part1	far_displaced	circle	2	0.2	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.2	0.585	3.7266	89	89	0	96	left	10.0	1	6.883	1	0	3	0	0	1.9222	3.0516	4.731	-999	-999	-999	-999	-999	-999	-999
59	temp	a	Part1	near_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	-1.8	3.9617	0.8201	89	89	0	68	right	5.0	1	6.05	1	0	2	2	1	3.1808	4.7765	-999	-999	-999	-999	-999	-999	-999	-999
60	temp	a	Part1	far_displaced	circle	2	1.2	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.2	6.082	2.9404	89	89	0	76	left	10.0	1	6.8	1	0	2	0	0	2.998	3.5589	-999	-999	-999	-999	-999	-999	-999	-999
61	temp	a	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	2.0358	5.1774	89	89	0	96	right	5.0	1	6.899	1	0	3	0	0	2.2226	3.097	4.2383	-999	-999	-999	-999	-999	-999	-999
62	temp	a	Part1	far_displaced	circle	2	1.2	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.2	2.633	5.7745	89	89	0	78	right	10.0	1	6.266	1	0	3	0	0	1.9818	2.9122	4.1922	-999	-999	-999	-999	-999	-999	-999
63	temp	a	Part1	centred	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.39999999999999997	0.0885	3.2301	89	89	0	67	center	0.0	1	6.616	1	0	3	0	0	1.9724	2.9396	4.2493	-999	-999	-999	-999	-999	-999	-999
64	temp	a	Part1	near_displaced	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	3.9179	0.7763	89	89	0	68	left	5.0	1	6.216	1	0	2	2	1	2.1353	3.7808	-999	-999	-999	-999	-999	-999	-999	-999
65	temp	a	Part1	far_displaced	circle	2	0.2	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.2	2.0352	5.1768	89	89	0	74	right	10.0	0	14.85	1	0	3	3	3	1.9533	3.0083	4.1322	-999	-999	-999	-999	-999	-999	-999
66	temp	a	Part1	far_displaced	circle	2	0.5	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.5	4.8421	1.7005	89	89	0	60	left	10.0	0	14.649	1	0	2	1	1	3.1077	4.5333	-999	-999	-999	-999	-999	-999	-999	-999
67	temp	a	Part1	far_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.5	4.9306	1.789	89	89	0	72	left	10.0	0	14.932	1	0	2	0	0	2.8625	4.7395	-999	-999	-999	-999	-999	-999	-999	-999
68	temp	a	Part1	far_displaced	circle	2	0.2	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.2	1.3686	4.5102	89	89	0	89	right	10.0	0	15.066	1	0	2	0	0	3.1033	4.6352	-999	-999	-999	-999	-999	-999	-999	-999
69	temp	a	Part1	far_displaced	circle	2	1.3	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.3	3.7563	0.6148	89	89	0	89	right	10.0	0	15.066	1	0	2	0	0	3.1318	3.8592	-999	-999	-999	-999	-999	-999	-999	-999
70	temp	a	Part1	far_displaced	circle	2	0.2	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.2	4.2554	1.1138	89	89	0	67	left	10.0	0	14.833	1	0	2	4	3	2.8735	4.2525	-999	-999	-999	-999	-999	-999	-999	-999
71	temp	a	Part1	near_displaced	circle	2	0.8999999999999999	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-0.8999999999999999	6.0772	2.9356	89	89	0	66	right	5.0	0	14.783	1	0	3	0	0	2.3885	2.9086	3.9644	-999	-999	-999	-999	-999	-999	-999
72	temp	a	Part1	far_displaced	circle	2	1.1	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.1	5.5234	2.3818	89	89	0	75	left	10.0	0	14.966	1	0	3	4	1	1.7977	2.9622	4.2672	-999	-999	-999	-999	-999	-999	-999
73	temp	a	Part1	near_displaced	circle	2	1.0	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-1.0	2.5868	5.7284	89	89	0	79	right	5.0	0	14.983	1	0	2	0	0	2.2986	3.8339	-999	-999	-999	-999	-999	-999	-999	-999
74	temp	a	Part1	near_displaced	circle	2	0.5999999999999999	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-0.5999999999999999	3.9442	0.8026	89	89	0	96	left	5.0	0	15.216	1	0	2	0	0	2.8414	3.9579	-999	-999	-999	-999	-999	-999	-999	-999
75	temp	a	Part1	far_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	0.0284	3.17	89	89	0	89	left	10.0	0	15.1	1	0	4	0	0	1.9988	2.6922	3.3743	5.0855	-999	-999	-999	-999	-999	-999
76	temp	a	Part1	far_displaced	circle	2	0.2	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.2	1.0584	4.2	89	89	0	95	right	10.0	0	15.216	1	0	2	2	1	3.1726	4.4514	-999	-999	-999	-999	-999	-999	-999	-999
